               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.023444,            0.052002,          0.00049556,             0.91534,             0.88149,             0.94785,             0.75202,            0.022143,            0.052886,          0.00076159,            0.002872,            0.002872,            0.002872
                  74,            0.023152,            0.050508,          0.00046429,             0.91116,             0.88501,             0.94806,             0.75482,            0.022114,            0.053194,          0.00077021,            0.002773,            0.002773,            0.002773
                  75,            0.023448,            0.051513,          0.00046816,             0.91468,              0.8849,             0.94819,             0.75361,            0.022177,             0.05309,          0.00075115,            0.002674,            0.002674,            0.002674
                  76,            0.022961,            0.051133,          0.00045907,             0.91965,             0.87536,             0.94673,             0.75456,            0.022188,            0.053091,          0.00077403,            0.002575,            0.002575,            0.002575
                  77,            0.023077,            0.050374,          0.00045217,             0.91407,             0.88434,             0.94797,             0.75513,            0.022145,            0.052806,          0.00082269,            0.002476,            0.002476,            0.002476
                  78,            0.022919,            0.050304,          0.00045224,             0.91142,             0.88632,             0.94809,              0.7543,            0.022226,            0.052935,          0.00088992,            0.002377,            0.002377,            0.002377
                  79,            0.022951,            0.051032,          0.00043157,             0.92055,             0.87709,             0.94795,             0.75488,            0.022136,             0.05299,          0.00076508,            0.002278,            0.002278,            0.002278
                  80,            0.022945,            0.050059,          0.00045364,             0.92154,             0.87796,             0.94823,             0.75661,            0.022128,            0.052704,          0.00079365,            0.002179,            0.002179,            0.002179
                  81,            0.022984,            0.050458,          0.00042801,             0.92321,             0.87833,              0.9474,             0.75695,            0.022123,            0.052947,          0.00081452,             0.00208,             0.00208,             0.00208
                  82,             0.02309,            0.051207,          0.00045603,              0.9181,             0.88239,             0.94878,             0.75702,             0.02206,            0.052709,          0.00084885,            0.001981,            0.001981,            0.001981
                  83,            0.022873,            0.050435,          0.00043557,             0.91768,             0.88052,             0.94832,              0.7568,            0.021996,            0.052792,           0.0007911,            0.001882,            0.001882,            0.001882
                  84,            0.022652,            0.050323,          0.00042138,             0.92036,             0.87986,             0.94853,              0.7579,            0.021947,            0.053002,          0.00079384,            0.001783,            0.001783,            0.001783
                  85,            0.022652,            0.049918,          0.00041838,             0.91799,             0.88542,             0.94879,             0.75862,            0.021965,            0.052664,          0.00077349,            0.001684,            0.001684,            0.001684
                  86,             0.02257,            0.049167,          0.00038354,              0.9181,             0.88413,             0.94881,             0.75933,            0.021963,            0.052614,          0.00076064,            0.001585,            0.001585,            0.001585
                  87,            0.022464,            0.049326,          0.00043003,               0.921,             0.88046,              0.9483,             0.75876,            0.021936,             0.05278,          0.00076018,            0.001486,            0.001486,            0.001486
                  88,            0.022612,            0.049709,          0.00041926,             0.92219,             0.88025,             0.94777,             0.75864,            0.021934,             0.05279,          0.00082056,            0.001387,            0.001387,            0.001387
                  89,            0.022411,            0.049387,          0.00042383,             0.92156,              0.8793,             0.94767,             0.75855,            0.021939,            0.052753,          0.00083865,            0.001288,            0.001288,            0.001288
                  90,             0.02241,            0.048686,          0.00039368,             0.91759,             0.88109,             0.94801,             0.75895,            0.021897,            0.052772,          0.00085933,            0.001189,            0.001189,            0.001189
                  91,            0.022368,             0.04912,          0.00039884,             0.92157,             0.87928,             0.94786,             0.75921,            0.021902,            0.052855,          0.00084638,             0.00109,             0.00109,             0.00109
                  92,            0.022626,            0.049946,          0.00042635,             0.91712,             0.88064,             0.94717,             0.75939,            0.021853,            0.052929,          0.00082081,            0.000991,            0.000991,            0.000991
                  93,             0.02232,            0.049176,          0.00040859,             0.92031,             0.88129,             0.94823,             0.76083,              0.0218,            0.052775,           0.0008167,            0.000892,            0.000892,            0.000892
                  94,            0.022066,            0.048277,          0.00037821,             0.91843,             0.88169,             0.94785,             0.75961,            0.021847,            0.052843,          0.00079763,            0.000793,            0.000793,            0.000793
                  95,            0.022347,            0.048138,          0.00037617,             0.91773,             0.88479,             0.94768,              0.7597,            0.021843,            0.052862,           0.0007813,            0.000694,            0.000694,            0.000694
                  96,            0.022004,            0.048835,           0.0004091,              0.9191,             0.88402,             0.94812,             0.76106,            0.021825,            0.052813,          0.00080079,            0.000595,            0.000595,            0.000595
                  97,             0.02218,             0.04862,          0.00041983,             0.92016,              0.8826,             0.94753,             0.76068,            0.021832,            0.052859,          0.00081493,            0.000496,            0.000496,            0.000496
                  98,            0.021945,            0.047801,          0.00039144,             0.92116,             0.88254,             0.94805,             0.76107,            0.021794,            0.052766,          0.00083145,            0.000397,            0.000397,            0.000397
                  99,            0.021954,             0.04799,          0.00038735,             0.92309,             0.88089,             0.94784,             0.76188,            0.021769,            0.052796,          0.00082184,            0.000298,            0.000298,            0.000298
